sku,archivo_es,archivo_de,estado_de,url_oficial_de,nota
6611,Be Sustained en sobres - Sabor a frutos del bosque 6611-PI_ES.pdf,6611-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6611-PI_DE.pdf
6802,Be Sustained Sachet - Berry 30 ct 6802-PI_ES.pdf,6802-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6802-PI_DE.pdf
6805,Be Sustained Sachet - Citrus 30 ct 6805-PI_ES.pdf,6805-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6805-PI_DE.pdf
6618,Biotic Blast® 6618-PI_ES.pdf,6618-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6618-PI_DE.pdf
4446,BODYSMART MEN .pdf,,no_disponible,https://ww1.lifeplus.com/uk/en
7882,Bodysmart Solution 7882-PI_ES.pdf,7882-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/7882-PI_DE.pdf
7883,Bodysmart Solutions Men’s Gold Formula 7883-PI_ES.pdf,7883-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/7883-PI_DE.pdf
7884,Bodysmart Solutions Women’s Gold Formula 7884-PI_ES.pdf,7884-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/7884-PI_DE.pdf
6114,BONE BUILDER SOLO DISPONIBLE EN USA   6114-PI_ES.pdf,6114-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6114-PI_DE.pdf
6104,Brain Formula 6104-PI_ES.pdf,6104-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6104-PI_DE.pdf
9600,CAL MAG PLUS 2.pdf,,no_disponible,https://ww1.lifeplus.com/uk/en
4040,Cat’s Claw Plus SOLO DISPONIBLE EN USA  4040-PI_ES.pdf,4040-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/4040-PI_DE.pdf
6663,CBD Oil Revive  SOLO DEISPONIBLE EN  USA .pdf,6663-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6663-PI_DE.pdf
6133,Circulation Formula 6133-PI_ES.pdf,6133-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6133-PI_DE.pdf
1012,Co-Q-10 .1012-PI_ES.pdf,1012-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/1012-PI_DE.pdf
1012,CO-Q-10 PLUS  2.pdf,1012-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/1012-PI_DE.pdf
6109,Cogelin (Colon Formula) 6109-PI_ES.pdf,6109-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6109-PI_DE.pdf
6355,D-Mannose 6355-PI_ES.pdf,6355-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6355-PI_DE.pdf
6132,Daily BioBasics 6132-PI_ES.pdf,6132-PI_DE.pdf,descargado,https://ww2.lifeplus.com/media/pdf/piSheets/US/6132-PI_DE.pdf
